Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
python-pcodedmp,disassembler ,,A VBA p-code disassembler.,https://pypi.org/project/pcodedmp/#files,BlackArch
python-peid,binary ,,Python implementation of the Packed Executable iDentifier (PEiD).,,BlackArch
python-pwntools,disassembler ,,CTF framework and exploit development library,https://github.com/Gallopsled/pwntools,BlackArch
python-search-engine-parser,,,"Scrapes search engine pages for query titles, descriptions and links.",https://pypi.org/project/search-engine-parser/#files,BlackArch
python-shodan,recon ,,The official Python library and CLI for Shodan,https://shodan.readthedocs.io/,BlackArch
python-ssh-mitm,exploitation ,,"SSH mitm server for security audits supporting public key authentication, session hijacking and file manipulation.",https://pypi.org/project/ssh-mitm/#files,BlackArch
python-trackerjacker,wireless ,,Finds and tracks wifi devices through raw 802.11 monitoring.,https://github.com/calebmadrigal/trackerjacker,BlackArch
python-uncompyle6,decompiler ,,A Python cross-version decompiler.,https://pypi.org/project/uncompyle6/#files,BlackArch
python-utidylib,misc ,,Python bindings for Tidy HTML parser/cleaner.,http://utidylib.berlios.de,BlackArch
python-witnessme,webapp ,,"Web Inventory tool, takes screenshots of webpages using Pyppeteer.",https://pypi.org/project/witnessme/#files,BlackArch
python-yara-rednaga,,,The Python interface for YARA.,https://github.com/rednaga/yara-python,BlackArch
python2-api-dnsdumpster,recon ,,Unofficial Python API for http://dnsdumpster.com/.,https://github.com/PaulSec/API-dnsdumpster.com,BlackArch
python2-capstone,disassembler ,,A disassembly framework with the target of becoming the ultimate disasm engine for binary analysis and reversing in the security community.,https://github.com/aquynh/capstone,BlackArch
python2-cymruwhois,networking ,,Python client for the whois.cymru.com service,https://pypi.org/project/cymruwhois/#files,BlackArch
python2-darts.util.lru,misc ,,Simple dictionary with LRU behaviour.,https://pypi.python.org/pypi/darts.util.lru,BlackArch
python2-exrex,misc ,,Irregular methods on regular expressions.,https://github.com/asciimoo/exrex,BlackArch
python2-frida,reversing ,,"Dynamic instrumentation toolkit for developers, reverse-engineers, and security researchers.",https://pypi.org/project/frida/#files,BlackArch
python2-frida-tools,mobile ,,Frida CLI tools.,https://pypi.org/project/frida-tools/#files,BlackArch
python2-google-streetview,misc ,,A command line tool and module for Google Street View Image API.,https://pypi.org/project/google-streetview/#files,BlackArch
python2-hpfeeds,honeypot ,,Honeynet Project generic authenticated datafeed protocol.,https://github.com/rep/hpfeeds,BlackArch
python2-ivre,recon ,,"Network recon framework based on Nmap, Masscan, Zeek (Bro), Argus, Netflow,... (library)",https://ivre.rocks/,BlackArch
python2-jsbeautifier,webapp ,,JavaScript unobfuscator and beautifier.,https://github.com/beautify-web/js-beautify,BlackArch
python2-ldapdomaindump,scanner ,,Active Directory information dumper via LDAP.,https://pypi.org/project/ldapdomaindump/#files,BlackArch
python2-minidump,windows ,,Python library to parse and read Microsoft minidump file format.,https://github.com/skelsec/minidump,BlackArch
python2-minikerberos,windows ,,Kerberos manipulation library in pure Python.,https://github.com/skelsec/minikerberos,BlackArch
python2-oletools,binary ,,Tools to analyze Microsoft OLE2 files.,https://pypi.org/project/oletools/,BlackArch
python2-pcodedmp,disassembler ,,A VBA p-code disassembler.,https://pypi.org/project/pcodedmp/#files,BlackArch
python2-peepdf,forensic ,,A Python tool to explore PDF files in order to find out if the file can be harmful or not.,http://eternal-todo.com/tools/peepdf-pdf-analysis-tool,BlackArch
python2-ropgadget,exploitation ,,"Pythonic argument parser, that will make you smile.",https://pypi.org/project/ropgadget/#files,BlackArch
python2-shodan,recon ,,Python library and command-line utility for Shodan (https://developer.shodan.io).,https://pypi.org/project/shodan/#files,BlackArch
python2-yara,malware ,,Python interface for YARA.,https://pypi.org/project/yara-python/#files,BlackArch
qark,mobile ,,Tool to look for several security related Android application vulnerabilities.,https://github.com/linkedin/qark,BlackArch
qrgen,misc ,,Simple script for generating Malformed QRCodes.,https://github.com/h0nus/QRGen,BlackArch
qrljacker,social ,,"QRLJacker is a highly customizable exploitation framework to demonstrate ""QRLJacking Attack Vector"".",https://github.com/OWASP/QRLJacking/tree/master/QRLJacker,BlackArch
qsreplace,misc ,,"Accept URLs on stdin, replace all query string values with a user-supplied value, only output each combination of query string parameters once per host and path.",https://github.com/tomnomnom/qsreplace,BlackArch
quark-engine,mobile ,,An Obfuscation-Neglect Android Malware Scoring System.,https://github.com/quark-engine/quark-engine,BlackArch
quickrecon,recon ,,"A python script for simple information gathering. It attempts to find subdomain names, perform zone transfers and gathers emails from Google and Bing.",http://packetstormsecurity.com/files/104314/QuickRecon.3.2.html,BlackArch
quicksand-lite,defensive ,,Command line tool for scanning streams within office documents plus xor db attack.,https://github.com/tylabs/quicksand_lite,BlackArch
quickscope,binary ,,"Statically analyze windows, linux, osx, executables and also APK files.",https://github.com/CYB3RMX/Qu1cksc0pe,BlackArch
r2ghidra,reversing ,,Deep ghidra decompiler integration for radare2 and iaito,https://github.com/radareorg/r2ghidra,BlackArch
rabid,webapp ,,A CLI tool and library allowing to simply decode all kind of BigIP cookies,https://noraj.github.io/rabid/,BlackArch
raccoon,recon ,,A high performance offensive security tool for reconnaissance and vulnerability scanning.,https://github.com/evyatarmeged/Raccoon,BlackArch
radamsa,fuzzer ,,General purpose mutation based fuzzer,https://gitlab.com/akihe/radamsa,BlackArch
radare2,reversing ,,"Open-source tools to disasm, debug, analyze and manipulate binary files",https://radare.org,BlackArch
radare2-keystone,reversing ,,Keystone assembler plugins for radare2.,https://github.com/radare/radare2-extras/tree/master/unicorn,BlackArch
radare2-unicorn,disassembler ,,Unicorn Emulator Plugin for radare2.,https://github.com/radare/radare2-extras/tree/master/unicorn,BlackArch
radiography,windows ,,A forensic tool which grabs as much information as possible from a Windows system.,http://www.security-projects.com/?RadioGraPhy,BlackArch
rainbowcrack,cracker ,,Password cracker based on the faster time-memory trade-off. With MySQL and Cisco PIX Algorithm patches.,http://project-rainbowcrack.com/,BlackArch
ranger-scanner,scanner ,,A tool to support security professionals to access and interact with remote Microsoft Windows based systems.,https://github.com/funkandwagnalls/ranger,BlackArch
rapidscan,webapp ,,The Multi-Tool Web Vulnerability Scanner.,https://github.com/skavngr/rapidscan,BlackArch
rarcrack,cracker ,,"Bruteforce password cracker for rar, 7z, zip archives",https://github.com/ziman/rarcrack,BlackArch
rasenum,windows ,,A small program which lists the information for all of the entries in any phonebook file (.pbk).,http://www.cultdeadcow.com/tools/rasenum.html,BlackArch
rathole,proxy ,,A reverse proxy for NAT traversal,https://github.com/rapiz1/rathole,BlackArch
ratproxy,fuzzer ,,A passive web application security assessment tool,http://code.google.com/p/ratproxy/,BlackArch
rats,code-audit ,,A rough auditing tool for security in source code files.,https://github.com/andrew-d/rough-auditing-tool-for-security,BlackArch
raven,social ,,A Linkedin information gathering tool that can be used by pentesters to gather information about an organization employees using Linkedin.,https://github.com/0x09AL/raven,BlackArch
rawr,scanner ,,Rapid Assessment of Web Resources. A web enumerator.,https://bitbucket.org/al14s/rawr/wiki/Home,BlackArch
rawsec-cli,misc ,,Rawsec Inventory search CLI to find security tools and resources.,https://github.com/mBouamama/rawsec_cli,BlackArch
rbac-lookup,scanner ,,A CLI that allows you to easily find Kubernetes roles and cluster roles bound to any user.,https://github.com/FairwindsOps/rbac-lookup,BlackArch
rbasefind,binary ,,A firmware base address search tool.,https://github.com/sgayou/rbasefind,BlackArch
rbkb,misc ,,A miscellaneous collection of command-line tools related to pen-testing and reversing.,https://github.com/emonti/rbkb,BlackArch
rbndr,spoof ,,Simple DNS Rebinding Service.,https://github.com/taviso/rbndr,BlackArch
rcracki-mt,cracker ,,"A tool to perform rainbow table attacks on password hashes. It is intended for indexed/perfected rainbow tables, mainly generated by the distributed project www.freerainbowtables.com",http://rcracki.sourceforge.net/,BlackArch
rcrdcarver,forensic ,,Carve RCRD records ($LogFile) from a chunk of data..,https://github.com/jschicht/RcrdCarver,BlackArch
rdesktop-brute,cracker ,,It connects to windows terminal servers - Bruteforce patch included.,http://www.rdesktop.org/,BlackArch
rdp-cipher-checker,scanner ,,Enumerate the encryption protocols supported by the server and the cipher strengths supported using native RDP encryption.,https://labs.f-secure.com/tools/rdp-cipher-checker/,BlackArch
rdp-sec-check,scanner ,,Script to enumerate security settings of an RDP Service.,https://github.com/portcullislabs/rdp-sec-check,BlackArch
rdpassspray,cracker ,,Python3 tool to perform password spraying using RDP.,https://github.com/xFreed0m/RDPassSpray,BlackArch
rdwarecon,recon ,,A python script to extract information from a Microsoft Remote Desktop Web Access (RDWA) application.,https://github.com/p0dalirius/RDWArecon,BlackArch
reaver,wireless ,,Brute force attack against Wifi Protected Setup,https://github.com/t6x/reaver-wps-fork-t6x,BlackArch
rebind,exploitation ,,DNS Rebinding Tool,http://code.google.com/p/rebind/,BlackArch
recaf,decompiler ,,Modern Java bytecode editor.,https://github.com/Col-E/Recaf,BlackArch
recentfilecache-parser,forensic ,,Python parser for the RecentFileCache.bcf on Windows.,https://github.com/prolsen/recentfilecache-parser,BlackArch
recomposer,automation ,,Randomly changes Win32/64 PE Files for 'safer' uploading to malware and sandbox sites.,https://github.com/secretsquirrel/recomposer,BlackArch
recon-ng,recon ,,A full-featured Web Reconnaissance framework written in Python.,https://github.com/lanmaster53/recon-ng,BlackArch
reconnoitre,recon ,,A security tool for multithreaded information gathering and service enumeration.,https://github.com/codingo/Reconnoitre,BlackArch
reconscan,recon ,,Network reconnaissance and vulnerability assessment tools.,https://github.com/RoliSoft/ReconScan,BlackArch
recoverdm,forensic ,,Recover damaged CD DVD and disks with bad sectors.,http://www.vanheusden.com/recoverdm/,BlackArch
recoverjpeg,forensic ,,Recover jpegs from damaged devices.,https://github.com/samueltardieu/recoverjpeg,BlackArch
recsech,recon ,,Tool for doing Footprinting and Reconnaissance on the target web.,https://github.com/radenvodka/Recsech,BlackArch
recstudio,decompiler ,,Cross platform interactive decompiler.,http://www.backerstreet.com/rec/rec.htm,BlackArch
recuperabit,forensic ,,A tool for forensic file system reconstruction.,https://github.com/Lazza/RecuperaBit,BlackArch
red-hawk,recon ,,"All in one tool for Information Gathering, Vulnerability Scanning and Crawling.",https://github.com/Tuhinshubhra/RED_HAWK,BlackArch
redasm,disassembler ,,"Interactive, multiarchitecture disassembler written in C++ using Qt5 as UI Framework.",https://github.com/REDasmOrg/REDasm,BlackArch
redfang,bluetooth ,,Finds non-discoverable Bluetooth devices by brute-forcing the last six bytes of the devices' Bluetooth addresses and calling read_remote_name().,http://packetstormsecurity.com/files/31864/redfang.2.5.tar.gz.html,BlackArch
redirectpoison,voip ,,A tool to poison a targeted issuer of SIP INVITE requests with 301 (i.e. Moved Permanently) redirection responses.,http://www.hackingexposedvoip.com/,BlackArch
redpoint,misc ,,Digital Bond's ICS Enumeration Tools.,https://github.com/digitalbond/Redpoint3,BlackArch
redress,binary ,,A tool for analyzing stripped Go binaries.,https://github.com/goretk/redress,BlackArch
redsocks,proxy ,,Transparent redirector of any TCP connection to proxy.,https://github.com/darkk/redsocks,BlackArch
reelphish,social ,,A Real-Time Two-Factor Phishing Tool.,https://github.com/fireeye/ReelPhish,BlackArch
regeorg,tunnel ,,"The successor to reDuh, pwn a bastion webserver and create SOCKS proxies through the DMZ. Pivot and pwn.",https://github.com/sensepost/reGeorg,BlackArch
regipy,forensic ,,Library for parsing offline registry hives.,https://github.com/mkorman90/regipy,BlackArch
reglookup,forensic ,,Command line utility for reading and querying Windows NT registries,http://projects.sentinelchicken.org/reglookup,BlackArch
regreport,windows ,,Windows registry forensic analysis tool.,https://www.gaijin.at/dlregreport.php,BlackArch
regripper,forensic ,,Open source forensic software used as a Windows Registry data extraction command line or GUI tool.,https://github.com/keydet89/RegRipper3.0,BlackArch
regrippy,forensic ,,Framework for reading and extracting useful forensics data from Windows registry hives.,https://pypi.org/project/regrippy/#files,BlackArch
regview,windows ,,Open raw Windows NT 5 Registry files (Windows 2000 or higher).,https://www.gaijin.at/en/dlregview.php,BlackArch
rekall,forensic ,,Memory Forensic Framework.,https://github.com/google/rekall,BlackArch
relay-scanner,scanner ,,An SMTP relay scanner.,http://www.cirt.dk,BlackArch
remot3d,webapp ,,An Simple Exploit for PHP Language.,https://github.com/KeepWannabe/Remot3d,BlackArch
replayproxy,forensic ,,Forensic tool to replay web-based attacks (and also general HTTP traffic) that were captured in a pcap file.,https://code.google.com/p/replayproxy/,BlackArch
reptor,misc ,,CLI tool to automate pentest reporting with SysReptor.,https://github.com/Syslifters/reptor,BlackArch
resourcehacker,windows ,,Resource compiler and decompiler for Windows® applications.,http://www.angusj.com/resourcehacker/,BlackArch
responder,scanner ,,"A LLMNR and NBT-NS poisoner, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2 (multirelay version).",https://github.com/lgandx/Responder,BlackArch
restler-fuzzer,webapp ,,First stateful REST API fuzzing tool for automatically testing cloud services through their REST APIs and finding security and reliability bugs in these services.,https://github.com/microsoft/restler-fuzzer,BlackArch
retdec,decompiler ,,Retargetable machine-code decompiler based on LLVM.,https://retdec.com/,BlackArch
retire,scanner ,,Scanner detecting the use of JavaScript libraries with known vulnerabilities.,http://retirejs.github.io/retire.js/,BlackArch
reverseip,recon ,,Ruby based reverse IP-lookup tool.,https://github.com/lolwaleet/ReverseIP,BlackArch
revipd,recon ,,A simple reverse IP domain scanner.,https://github.com/PypeRanger/revipd,BlackArch
revsh,backdoor ,,"A reverse shell with terminal support, data tunneling, and advanced pivoting capabilities.",https://github.com/emptymonkey/revsh/,BlackArch
rex,exploitation ,,"Shellphish's automated exploitation engine, originally created for the Cyber Grand Challenge.",https://github.com/shellphish/rex,BlackArch
rext,exploitation ,,Router EXploitation Toolkit - small toolkit for easy creation and usage of various python scripts that work with embedded devices.,https://github.com/j91321/rext,BlackArch
rfcat,exploitation ,,RF ChipCon-based Attack Toolset.,http://code.google.com/p/rfcat,BlackArch
rfdump,wireless ,,Tool to detect RFID-Tags and show their meta information,http://www.rfdump.org,BlackArch
rfidiot,wireless ,,An open source python library for exploring RFID devices.,http://rfidiot.org/,BlackArch
rfidtool,wireless ,,A opensource tool to read / write rfid tags,http://www.bindshell.net/tools/rfidtool.html,BlackArch
rhodiola,automation ,,"Personalized wordlist generator with NLP, by analyzing tweets (A.K.A crunch2049).",https://github.com/utkusen/rhodiola,BlackArch
richsploit,exploitation ,,Exploitation toolkit for RichFaces.,https://github.com/redtimmy/Richsploit,BlackArch
ridenum,cracker ,,A null session RID cycle attack for brute forcing domain controllers.,https://github.com/trustedsec/ridenum,BlackArch
ridrelay,recon ,,Enumerate usernames on a domain where you have no creds by using SMB Relay with low priv.,https://github.com/skorov/ridrelay,BlackArch
rifiuti2,forensic ,,"A rewrite of rifiuti, a great tool from Foundstone folks for analyzing Windows Recycle Bin INFO2 file.",https://github.com/abelcheung/rifiuti2,BlackArch
rinetd,networking ,,Internet redirection server.,http://www.boutell.com/rinetd,BlackArch
ripdc,recon ,,A script which maps domains related to an given ip address or domainname.,http://nullsecurity.net/tools/scanner,BlackArch
rita,recon ,,Real Intelligence Threat Analytics.,https://github.com/activecm/rita,BlackArch
riwifshell,webapp ,,Web backdoor - infector - explorer.,https://github.com/graniet/riwifshell,BlackArch
rkhunter,forensic ,,Checks machines for the presence of rootkits and other unwanted tools.,http://rkhunter.sourceforge.net/,BlackArch
rlogin-scanner,cracker ,,"Multithreaded rlogin scanner. Tested on Linux, OpenBSD and Solaris.",http://wayreth.eu.org/old_page/,BlackArch
rmiscout,exploitation ,,Enumerate Java RMI functions and exploit RMI parameter unmarshalling vulnerabilities.,https://github.com/BishopFox/rmiscout,BlackArch
rogue-mysql-server,misc ,,A rogue MySQL server written in Python.,https://github.com/Gifts/Rogue-MySql-Server,BlackArch
roguehostapd,wireless ,,Hostapd fork including Wi-Fi attacks and providing Python bindings with ctypes.,https://github.com/wifiphisher/roguehostapd,BlackArch
rombuster,exploitation ,,A router exploitation tool that allows to disclosure network router admin password.,https://github.com/EntySec/RomBuster,BlackArch
rootbrute,cracker ,,Local root account bruteforcer.,http://www.packetstormsecurity.org/,BlackArch
ropeadope,anti-forensic ,,A linux log cleaner.,http://www.highhacksociety.com/,BlackArch
ropeme,exploitation ,,A set of python scripts to generate ROP gadgets and payload.,http://www.vnsecurity.net/2010/08/ropeme-rop-exploit-made-easy/,BlackArch
ropgadget,exploitation ,,Search gadgets in binaries to facilitate ROP exploitation for several file formats and architectures,http://www.shell-storm.org/project/ROPgadget,BlackArch
ropper,exploitation ,,Show information about binary files and find gadgets to build rop chains for different architectures,https://github.com/sashs/Ropper,BlackArch
roputils,exploitation ,,A Return-oriented Programming toolkit.,https://github.com/inaz2/roputils,BlackArch
routerhunter,scanner ,,Tool used to find vulnerable routers and devices on the Internet and perform tests.,https://github.com/jh00nbr/Routerhunter.0,BlackArch
routersploit,exploitation ,,Open-source exploitation framework dedicated to embedded devices,https://github.com/threat9/routersploit,BlackArch
rp,exploitation ,,A full-cpp written tool that aims to find ROP sequences in PE/Elf/Mach-O x86/x64 binaries.,https://github.com/0vercl0k/rp,BlackArch
rpak,windows ,,A collection of tools that can be useful for doing attacks on routing protocols.,http://ntsecurity.nu/toolbox/promisdetect/,BlackArch
rpcsniffer,windows ,,Sniffs WINDOWS RPC messages in a given RPC server process.,https://github.com/AdiKo/RPCSniffer,BlackArch
rpctools,windows ,,Contains three separate tools for obtaining information from a system that is running RPC services,https://packetstormsecurity.com/files/31879/rpctools.0.zip.html,BlackArch
rpdscan,cracker ,,Remmina Password Decoder and scanner.,https://github.com/freakyclown/RPDscan,BlackArch
rpivot,proxy ,,Socks4 reverse proxy for penetration testing.,https://github.com/artkond/rpivot,BlackArch
rr,debugger ,,A Record and Replay Framework.,https://github.com/mozilla/rr,BlackArch
rrs,backdoor ,,A reverse (connecting) remote shell. Instead of listening for incoming connections it will connect out to a listener (rrs in listen mode). With tty support and more.,http://www.cycom.se/dl/rrs,BlackArch
rsactftool,crypto ,,RSA tool for ctf - retrieve private key from weak public key and/or uncipher data.,https://github.com/Ganapati/RsaCtfTool,BlackArch
rsakeyfind,cracker ,,A tool to find RSA key in RAM.,http://citp.princeton.edu/memory/code/,BlackArch
rsatool,crypto ,,Tool that can be used to calculate RSA and RSA-CRT parameters.,https://github.com/ius/rsatool,BlackArch
rshack,crypto ,,"Python tool which allows to carry out some attacks on RSA, and offer a few tools to manipulate RSA keys.",https://github.com/zweisamkeit/RSHack,BlackArch
rsmangler,automation ,,rsmangler takes a wordlist and mangle it,http://www.randomstorm.com/rsmangler-security-tool.php,BlackArch
rspet,exploitation ,,A Python based reverse shell equipped with functionalities that assist in a post exploitation scenario.,https://github.com/panagiks/RSPET,BlackArch
rtfm,misc ,,"A database of common, interesting or useful commands, in one handy referable form.",https://github.com/leostat/rtfm,BlackArch
rtlamr,radio ,,An rtl-sdr receiver for smart meters operating in the 900MHz ISM band.,https://github.com/bemasher/rtlamr/,BlackArch
rtlizer,scanner ,,Simple spectrum analyzer.,https://github.com/csete/rtlizer,BlackArch
rtlsdr-scanner,scanner ,,A cross platform Python frequency scanning GUI for the OsmoSDR rtl-sdr library.,https://github.com/EarToEarOak/RTLSDR-Scanner,BlackArch
rtp-flood,voip ,,RTP flooder,http://www.hackingexposedvoip.com/,BlackArch
rtpbreak,networking ,,"Detects, reconstructs and analyzes any RTP session",http://xenion.antifork.org/rtpbreak/,BlackArch
rubilyn,backdoor ,,64bit Mac OS-X kernel rootkit that uses no hardcoded address to hook the BSD subsystem in all OS-X Lion & below. It uses a combination of syscall hooking and DKOM to hide activity on a host.,http://nullsecurity.net/tools/backdoor.html,BlackArch
ruler,webapp ,,A tool to abuse Exchange services.,https://github.com/sensepost/ruler,BlackArch
rulesfinder,misc ,,Machine-learn password mangling rules.,https://github.com/synacktiv/rulesfinder,BlackArch
rupture,crypto ,,A framework for BREACH and other compression-based crypto attacks.,https://github.com/decrypto-org/rupture,BlackArch
rustbuster,webapp ,,DirBuster for Rust.,https://github.com/phra/rustbuster,BlackArch
rustcat,networking ,,A modern port listener and reverse shell.,https://github.com/robiot/rustcat,BlackArch
rusthound,recon ,,Active Directory data collector for BloodHound.,https://github.com/OPENCYBER-FR/RustHound,BlackArch
rustpad,crypto ,,Multi-threaded Padding Oracle attacks against any service.,https://github.com/Kibouo/rustpad,BlackArch
rustscan,scanner ,,A modern port scanner,https://github.com/rustscan/RustScan,BlackArch
rvi-capture,sniffer ,,Capture packets sent or received by iOS devices.,https://github.com/gh2o/rvi_capture,BlackArch
rww-attack,webapp ,,Performs a dictionary attack against a live Microsoft Windows Small Business Server.,http://packetstormsecurity.com/files/79021/Remote-Web-Workplace-Attack-Tool.html,BlackArch
rz-cutter,reversing ,,Qt and C++ GUI for rizin reverse engineering framework,https://github.com/rizinorg/cutter,BlackArch
rz-ghidra,reversing ,,Deep ghidra decompiler integration for rizin and rz-cutter,https://github.com/rizinorg/rz-ghidra,BlackArch
s3-fuzzer,fuzzer ,,"A concurrent, command-line AWS S3 Fuzzer.",https://github.com/petermbenjamin/s3-fuzzer,BlackArch
s3enum,recon ,,Amazon S3 bucket enumeration.,https://github.com/koenrh/s3enum,BlackArch
s3scanner,scanner ,,A tool to find open S3 buckets in AWS or other cloud providers.,https://github.com/sa7mon/S3Scanner,BlackArch
safecopy,forensic ,,A disk data recovery tool to extract data from damaged media.,http://safecopy.sourceforge.net/,BlackArch
sagan,ids ,,A snort-like log analysis engine.,https://quadrantsec.com/sagan_log_analysis_engine/,BlackArch
sakis3g,automation ,,An all-in-one script for connecting with 3G.,http://www.sakis3g.org/,BlackArch
saleae-logic,debugger ,,Debug happy.,https://www.saleae.com/downloads,BlackArch
sambascan,scanner ,,Allows you to search an entire network or a number of hosts for SMB shares. It will also list the contents of all public shares that it finds.,http://sourceforge.net/projects/sambascan2/,BlackArch
samdump2,cracker ,,Dump password hashes from a Windows NT/2k/XP installation,http://sourceforge.net/projects/ophcrack/files/samdump2/,BlackArch
samesame,fuzzer ,,Command line tool to generate crafty homograph strings.,https://github.com/TheTarquin/samesame,BlackArch
samplicator,networking ,,"Send copies of (UDP) datagrams to multiple receivers, with optional sampling and spoofing.",https://github.com/sleinen/samplicator,BlackArch
samydeluxe,cracker ,,Automatic samdump creation script.,http://github.com/jensp/samydeluxe,BlackArch
sandcastle,scanner ,,A Python script for AWS S3 bucket enumeration.,https://github.com/0xSearches/sandcastle,BlackArch
sandmap,scanner ,,"Simple CLI with the ability to run pure Nmap engine, 31 modules with 459 scan profiles.",https://github.com/trimstray/sandmap,BlackArch
sandsifter,fuzzer ,,The x86 processor fuzzer.,https://github.com/xoreaxeaxeax/sandsifter,BlackArch
sandy,scanner ,,An open-source Samsung phone encryption assessment framework,https://github.com/donctl/sandy,BlackArch
saruman,binary ,,"ELF anti-forensics exec, for injecting full dynamic executables into process image (With thread injection).",https://github.com/elfmaster/saruman,BlackArch
sasm,misc ,,"A simple crossplatform IDE for NASM, MASM, GAS and FASM assembly languages.",https://github.com/Dman95/SASM,BlackArch
sawef,webapp ,,Send Attack Web Forms.,https://github.com/danilovazb/sawef,BlackArch
sb0x,scanner ,,A simple and Lightweight framework for Penetration testing.,https://github.com/levi0x0/sb0x-project,BlackArch
sbd,crypto ,,"Netcat-clone, portable, offers strong encryption - features AES-CBC + HMAC-SHA1 encryption, program execution (-e), choosing source port, continuous reconnection with delay + more",http://www2.packetstormsecurity.org/cgi-bin/search/search.cgi?searchvalue=sbd,BlackArch
sc-make,exploitation ,,Tool for automating shellcode creation.,https://github.com/t00sh/sc-make,BlackArch
scalpel,forensic ,,"A frugal, high performance file carver.",http://www.digitalforensicssolutions.com/Scalpel/,BlackArch
scamper,scanner ,,A tool that actively probes the Internet in order to analyze topology and performance.,http://www.caida.org/tools/measurement/scamper/,BlackArch
scanless,scanner ,,Utility for using websites that can perform port scans on your behalf.,https://github.com/vesche/scanless,BlackArch
scanmem,reversing ,,Memory scanner designed to isolate the address of an arbitrary variable in an executing process,https://github.com/scanmem/scanmem,BlackArch
scannerl,fingerprint ,,The modular distributed fingerprinting engine.,https://github.com/kudelskisecurity/scannerl,BlackArch
scanqli,webapp ,,SQLi scanner to detect SQL vulns.,https://github.com/bambish/ScanQLi,BlackArch
scansploit,exploitation ,,"Exploit using barcodes, QRcodes, earn13, datamatrix.",https://github.com/huntergregal/scansploit,BlackArch
scanssh,scanner ,,Fast SSH server and open proxy scanner.,http://www.monkey.org/~provos/scanssh/,BlackArch
scap-security-guide,automation ,,"Security compliance content in SCAP, Bash, Ansible, and other formats.",https://www.open-scap.org/security-policies/scap-security-guide/,BlackArch
scap-workbench,automation ,,SCAP Scanner And Tailoring Graphical User Interface.,https://www.open-scap.org/tools/scap-workbench/,BlackArch
scapy,networking ,,Powerful interactive packet manipulation program written in Python (tools),http://www.secdev.org/projects/scapy/,BlackArch
scavenger,recon ,,Crawler (Bot) searching for credential leaks on different paste sites.,https://github.com/rndinfosecguy/Scavenger,BlackArch
schnappi-dhcp,misc ,,Can fuck network with no DHCP.,http://www.emanuelegentili.eu/,BlackArch
scout2,scanner ,,Security auditing tool for AWS environments.,http://isecpartners.github.io/Scout2/,BlackArch
scoutsuite,scanner ,,Multi-Cloud Security Auditing Tool.,https://github.com/nccgroup/ScoutSuite,BlackArch
scrape-dns,scanner ,,Searches for interesting cached DNS entries.,https://github.com/304GEEK/Scrape-DNS,BlackArch
scrapy,webapp ,,A fast high-level scraping and web crawling framework.,https://scrapy.org,BlackArch
scratchabit,disassembler ,,Easily retargetable and hackable interactive disassembler with IDAPython-compatible plugin API.,https://github.com/pfalcon/ScratchABit,BlackArch
scrounge-ntfs,forensic ,,Data recovery program for NTFS file systems,http://memberwebs.com/stef/software/scrounge/,BlackArch
scrying,webapp ,,"Collect RDP, web, and VNC screenshots smartly.",https://github.com/nccgroup/scrying,BlackArch
sctpscan,recon ,,A network scanner for discovery and security.,http://www.p1sec.com/,BlackArch
scylla,recon ,,"Find Advanced Information on a Username, Website, Phone Number, etc.",https://github.com/josh0xA/Scylla,BlackArch
sdn-toolkit,networking ,,"Discover, Identify, and Manipulate SDN-Based Networks",http://www.hellfiresecurity.com/tools.htm,BlackArch
sdnpwn,scanner ,,An SDN penetration testing toolkit.,https://github.com/smythtech/sdnpwn,BlackArch
sea,malware ,,A tool to help to create exploits of binary programs.,https://github.com/neuromancer/SEA,BlackArch
search1337,automation ,,1337Day Online Exploit Scanner.,https://github.com/b3mb4m/Search1337,BlackArch
seat,scanner ,,"Next generation information digging application geared toward the needs of security professionals. It uses information stored in search engine databases, cache repositories, and other public resources to scan web sites for potential vulnerabilities.",http://thesprawl.org/projects/search-engine-assessment-tool/,BlackArch
seclists,xploitation,,A collection of multiple types of lists used during security assessments.,https://github.com/danielmiessler/SecLists/,BlackArch
second-order,webapp ,,Second-order subdomain takeover scanner.,https://github.com/mhmdiaa/second-order,BlackArch
secretfinder,webapp ,,"A python script to find sensitive data (apikeys, accesstoken, jwt,..) in javascript files.",https://github.com/m4ll0k/SecretFinder,BlackArch
secscan,webapp ,,Web Apps Scanner and Much more utilities.,http://code.google.com/p/secscan-py/,BlackArch
secure-delete,anti-forensic ,,"Secure file, disk, swap, memory erasure utilities.",http://www.thc.org/,BlackArch
secure2csv,forensic ,,Decode security descriptors in $Secure on NTFS.,https://github.com/jschicht/Secure2Csv,BlackArch
see-surf,webapp ,,A Python based scanner to find potential SSRF parameters in a web application.,https://github.com/In3tinct/See-SURF,BlackArch
seeker,social ,,Accurately Locate People using Social Engineering.,https://github.com/thewhiteh4t/seeker,BlackArch
sees,social ,,Increase the success rate of phishing attacks by sending emails to company users as if they are coming from the very same company's domain.,https://github.com/galkan/sees/,BlackArch
semgrep,code-audit ,,Lightweight static analysis for many languages.,https://pypi.org/project/semgrep/#files,BlackArch
